Name,Date,Tags
Assemble the pot with the sensors,"February 14, 2024 → February 17, 2024",
Implement Light Control Module,"January 31, 2024 → February 3, 2024",Light Control
Temperature Module,"February 3, 2024 → February 6, 2024",Temperature Control
Humidity Module,"February 6, 2024 → February 10, 2024",HumidityControl
Design watering module,"February 9, 2024 → February 13, 2024",
Design Bluetooth module,"February 12, 2024 → February 14, 2024",
Design heating module,"February 7, 2024 → February 10, 2024",
Progress Report,"February 9, 2024",Due
Final Presentation,"February 20, 2024",Due
Order and determined parts,"January 29, 2024 → January 31, 2024",
Project Proposal,"January 26, 2024",
"Draw schematic ","January 27, 2024 → January 31, 2024",
